shipment_id,customer_id,route_id,origin_address,destination_address,weight_kg,package_type,service_type,pickup_date,estimated_delivery,actual_delivery,status,total_cost_idr,tracking_number
SHP00011,CUS0126,RTE014,"Jl. Diponegoro No. 145, Jakarta","Jl. Ahmad Yani No. 93, Pekanbaru",4.7,paket_sedang,regular,2023-03-02,2023-03-07,2023-03-07,delivered,65800,TRK2303020001
SHP00012,CUS0503,RTE003,"Jl. Cendrawasih No. 38, Jakarta","Jl. Melati No. 40, Tangerang",10.6,paket_sedang,regular,2024-07-12,2024-07-13,2024-07-15,delivered,74200,TRK2407120001
SHP00013,CUS0185,RTE039,"Jl. Sudirman No. 92, Bandung","Jl. Raya Bogor No. 291, Denpasar",31.6,paket_besar,regular,2023-12-04,2023-12-08,2023-12-13,delivered,426600,TRK2312040001
SHP00014,CUS0496,RTE079,"Jl. Cempaka No. 280, Pontianak","Jl. Sudirman No. 82, Jakarta",26.1,paket_kecil,regular,2023-01-30,2023-02-03,2023-02-04,delivered,300150,TRK2301300001
SHP00015,CUS0549,RTE003,"Jl. Anggrek No. 263, Jakarta","Jl. Setiabudi No. 79, Tangerang",10.9,paket_kecil,regular,2022-03-02,2022-03-03,2022-03-03,delivered,76300,TRK2203020001
SHP00016,CUS0226,RTE011,"Jl. Pajajaran No. 65, Jakarta","Jl. Ahmad Yani No. 141, Medan",24.1,fragile,regular,2023-08-26,2023-08-31,2023-09-01,delivered,433800,TRK2308260001
SHP00017,CUS0508,RTE056,"Jl. Anggrek No. 205, Makassar","Jl. Merdeka No. 129, Kendari",8.7,paket_sedang,same_day,2023-07-30,2023-07-30,2023-08-04,delivered,247950,TRK2307300001
SHP00018,CUS0106,RTE075,"Jl. Setiabudi No. 160, Palembang","Jl. Pahlawan No. 106, Padang",47.7,paket_sedang,regular,2024-05-17,2024-05-21,2024-05-22,delivered,643950,TRK2405170001
SHP00019,CUS0279,RTE041,"Jl. Cempaka No. 56, Semarang","Jl. Cempaka No. 197, Solo",21.5,paket_sedang,regular,2022-05-12,2022-05-14,2022-05-14,delivered,161250,TRK2205120001
SHP00020,CUS0035,RTE066,"Jl. Ahmad Yani No. 210, Yogyakarta","Jl. Pemuda No. 272, Bandung",17.7,dokumen,regular,2023-10-23,2023-10-26,2023-10-26,delivered,168150,TRK2310230001
SHP00021,CUS0191,RTE046,"Jl. Veteran No. 38, Medan","Jl. Merdeka No. 191, Padang",18.7,paket_besar,regular,2022-01-20,2022-01-23,2022-01-23,delivered,205700,TRK2201200001
SHP00022,CUS0012,RTE043,"Jl. Merdeka No. 239, Semarang","Jl. Mangga No. 165, Surabaya",44.9,paket_sedang,regular,2023-08-04,2023-08-07,2023-08-08,delivered,404100,TRK2308040001
SHP00023,CUS0540,RTE028,"Jl. Asia Afrika No. 288, Surabaya","Jl. Ahmad Yani No. 39, Balikpapan",28.7,paket_sedang,express,2024-06-10,2024-06-12,2024-06-12,delivered,688800,TRK2406100001
SHP00024,CUS0328,RTE026,"Jl. Merdeka No. 26, Surabaya","Jl. Melati No. 256, Solo",2.4,paket_kecil,regular,2022-09-12,2022-09-14,2022-09-15,delivered,20400,TRK2209120001
SHP00025,CUS0335,RTE076,"Jl. Imam Bonjol No. 122, Palembang","Jl. Mangga No. 11, Jakarta",14.3,paket_sedang,express,2022-01-10,2022-01-12,2022-01-15,delivered,264550,TRK2201100001
SHP00026,CUS0292,RTE017,"Jl. Imam Bonjol No. 19, Jakarta","Jl. Kenanga No. 271, Balikpapan",2.1,paket_sedang,regular,2024-08-20,2024-08-25,,in_transit,31500,TRK2408200001
SHP00027,CUS0098,RTE054,"Jl. Pajajaran No. 155, Makassar","Jl. Ahmad Yani No. 163, Balikpapan",37.7,paket_sedang,express,2023-10-04,2023-10-06,,in_transit,867100,TRK2310040001
SHP00028,CUS0506,RTE079,"Jl. Thamrin No. 202, Pontianak","Jl. Pemuda No. 233, Jakarta",24.7,paket_sedang,regular,2024-02-05,2024-02-09,2024-02-12,delivered,284050,TRK2402050001
SHP00029,CUS0106,RTE004,"Jl. Veteran No. 25, Jakarta","Jl. Sudirman No. 72, Bekasi",5.3,paket_kecil,express,2024-06-11,2024-06-12,2024-06-12,delivered,82150,TRK2406110001
SHP00030,CUS0091,RTE025,"Jl. Pajajaran No. 189, Surabaya","Jl. Kenanga No. 3, Makassar",46.7,paket_besar,regular,2022-03-30,2022-04-03,2022-04-03,delivered,560400,TRK2203300001
SHP00031,CUS0312,RTE010,"Jl. Ahmad Yani No. 169, Jakarta","Jl. Margonda No. 195, Denpasar",13.6,paket_kecil,regular,2024-08-01,2024-08-05,2024-08-05,delivered,190400,TRK2408010001
SHP00032,CUS0327,RTE019,"Jl. Setiabudi No. 300, Jakarta","Jl. Cendrawasih No. 229, Banjarmasin",33.4,paket_sedang,regular,2024-09-05,2024-09-09,2024-09-10,delivered,450900,TRK2409050001
SHP00033,CUS0288,RTE042,"Jl. Setiabudi No. 248, Semarang","Jl. Veteran No. 48, Malang",13.3,paket_kecil,regular,2023-12-24,2023-12-27,2023-12-28,delivered,126350,TRK2312240001
SHP00034,CUS0249,RTE027,"Jl. Margonda No. 40, Surabaya","Jl. Gatot Subroto No. 254, Medan",3.1,dokumen,regular,2024-08-16,2024-08-22,2024-08-24,delivered,65100,TRK2408160001
SHP00035,CUS0193,RTE063,"Jl. Asia Afrika No. 175, Yogyakarta","Jl. Merdeka No. 271, Malang",25.7,paket_kecil,regular,2024-07-18,2024-07-21,2024-07-22,delivered,244150,TRK2407180002
SHP00036,CUS0517,RTE014,"Jl. Diponegoro No. 113, Jakarta","Jl. Gajah Mada No. 198, Pekanbaru",48.8,paket_besar,express,2023-02-20,2023-02-23,,in_transit,1537200,TRK2302200001
SHP00037,CUS0410,RTE025,"Jl. Gatot Subroto No. 143, Surabaya","Jl. Cendrawasih No. 85, Makassar",34.3,fragile,express,2022-07-29,2022-07-31,2022-07-31,delivered,840350,TRK2207290001
SHP00038,CUS0110,RTE015,"Jl. Veteran No. 9, Jakarta","Jl. Mawar No. 96, Makassar",13.4,paket_sedang,express,2024-07-16,2024-07-19,2024-07-19,delivered,435500,TRK2407160001
SHP00039,CUS0122,RTE071,"Jl. Gatot Subroto No. 182, Pekanbaru","Jl. Cendrawasih No. 109, Padang",7.6,paket_sedang,express,2023-11-15,2023-11-16,,in_transit,155800,TRK2311150001
SHP00040,CUS0055,RTE057,"Jl. Ahmad Yani No. 190, Denpasar","Jl. Asia Afrika No. 26, Mataram",32.5,paket_besar,regular,2023-02-02,2023-02-04,2023-02-04,delivered,260000,TRK2302020001
SHP00041,CUS0413,RTE023,"Jl. Cempaka No. 142, Surabaya","Jl. Anggrek No. 253, Denpasar",26.0,paket_kecil,regular,2023-05-25,2023-05-28,,in_transit,247000,TRK2305250001
SHP00042,CUS0114,RTE029,"Jl. Asia Afrika No. 28, Surabaya","Jl. Thamrin No. 295, Manado",13.4,dokumen,regular,2023-07-19,2023-07-24,2023-07-24,delivered,227800,TRK2307190001
SHP00043,CUS0415,RTE051,"Jl. Imam Bonjol No. 52, Medan","Jl. Veteran No. 138, Batam",24.8,paket_kecil,regular,2023-12-13,2023-12-17,,lost,297600,TRK2312130001
SHP00044,CUS0295,RTE077,"Jl. Pemuda No. 2, Pontianak","Jl. Asia Afrika No. 95, Singkawang",25.2,paket_besar,express,2023-09-18,2023-09-19,2023-09-22,delivered,441000,TRK2309180001
SHP00045,CUS0245,RTE022,"Jl. Hayam Wuruk No. 36, Surabaya","Jl. Pahlawan No. 96, Semarang",16.7,paket_sedang,regular,2024-08-29,2024-09-01,2024-09-01,delivered,150300,TRK2408290001
SHP00046,CUS0022,RTE023,"Jl. Ahmad Yani No. 40, Surabaya","Jl. Pahlawan No. 5, Denpasar",29.7,fragile,express,2022-01-03,2022-01-04,2022-01-05,delivered,623700,TRK2201030001
SHP00047,CUS0254,RTE061,"Jl. Asia Afrika No. 24, Denpasar","Jl. Sudirman No. 291, Yogyakarta",34.0,paket_kecil,regular,2024-12-11,2024-12-14,2024-12-15,delivered,374000,TRK2412110001
SHP00048,CUS0151,RTE013,"Jl. Asia Afrika No. 156, Jakarta","Jl. Pajajaran No. 172, Padang",22.7,paket_besar,express,2023-06-12,2023-06-15,,returned,737750,TRK2306120001
SHP00049,CUS0499,RTE033,"Jl. Gajah Mada No. 235, Bandung","Jl. Sudirman No. 181, Semarang",15.1,paket_kecil,express,2024-09-18,2024-09-20,,returned,286900,TRK2409180001
SHP00050,CUS0116,RTE035,"Jl. Raya Bogor No. 266, Bandung","Jl. Pajajaran No. 11, Surabaya",7.5,paket_sedang,regular,2022-10-18,2022-10-22,2022-10-22,delivered,86250,TRK2210180001
SHP00051,CUS0032,RTE032,"Jl. Mangga No. 221, Bandung","Jl. Gajah Mada No. 106, Bogor",37.2,paket_kecil,regular,2022-08-10,2022-08-12,2022-08-17,delivered,297600,TRK2208100001
SHP00052,CUS0558,RTE058,"Jl. Anggrek No. 90, Denpasar","Jl. Ahmad Yani No. 179, Surabaya",44.4,paket_kecil,regular,2023-07-20,2023-07-23,2023-07-23,delivered,421800,TRK2307200001
SHP00053,CUS0043,RTE075,"Jl. Anggrek No. 176, Palembang","Jl. Cempaka No. 63, Padang",21.7,paket_sedang,regular,2023-08-14,2023-08-18,,lost,292950,TRK2308140001
SHP00054,CUS0113,RTE002,"Jl. Melati No. 76, Jakarta","Jl. Mawar No. 77, Bogor",26.2,paket_kecil,express,2022-11-30,2022-12-01,2022-12-01,delivered,419200,TRK2211300001
SHP00055,CUS0296,RTE009,"Jl. Pemuda No. 8, Jakarta","Jl. Mawar No. 21, Malang",10.9,paket_besar,regular,2022-04-19,2022-04-23,,in_transit,130800,TRK2204190001
SHP00056,CUS0501,RTE040,"Jl. Sudirman No. 221, Semarang","Jl. Gajah Mada No. 1, Yogyakarta",2.6,paket_kecil,regular,2024-10-25,2024-10-27,,returned,19500,TRK2410250001
SHP00057,CUS0575,RTE020,"Jl. Gatot Subroto No. 139, Surabaya","Jl. Diponegoro No. 101, Malang",21.7,fragile,regular,2023-03-25,2023-03-26,2023-03-25,delivered,162750,TRK2303250001
SHP00058,CUS0364,RTE032,"Jl. Raya Bogor No. 198, Bandung","Jl. Cendrawasih No. 205, Bogor",48.3,dokumen,regular,2023-09-11,2023-09-13,2023-09-14,delivered,386400,TRK2309110001
SHP00059,CUS0178,RTE073,"Jl. Cendrawasih No. 166, Pekanbaru","Jl. Mangga No. 72, Medan",34.2,paket_kecil,regular,2024-05-02,2024-05-05,2024-05-06,delivered,324900,TRK2405020001
SHP00060,CUS0309,RTE040,"Jl. Gatot Subroto No. 153, Semarang","Jl. Mangga No. 237, Yogyakarta",27.3,paket_kecil,regular,2022-07-16,2022-07-18,2022-07-18,delivered,204750,TRK2207160001
SHP00061,CUS0453,RTE041,"Jl. Anggrek No. 184, Semarang","Jl. Mawar No. 182, Solo",21.4,paket_sedang,regular,2024-08-02,2024-08-04,2024-08-03,delivered,160500,TRK2408020001
SHP00062,CUS0573,RTE004,"Jl. Setiabudi No. 216, Jakarta","Jl. Gatot Subroto No. 72, Bekasi",30.8,paket_kecil,regular,2024-11-14,2024-11-15,2024-11-15,delivered,215600,TRK2411140001
SHP00063,CUS0557,RTE073,"Jl. Pemuda No. 28, Pekanbaru","Jl. Setiabudi No. 202, Medan",6.4,paket_sedang,regular,2024-11-26,2024-11-29,,in_transit,60800,TRK2411260001
SHP00064,CUS0472,RTE007,"Jl. Gatot Subroto No. 29, Jakarta","Jl. Ahmad Yani No. 55, Yogyakarta",16.7,dokumen,regular,2024-09-13,2024-09-16,,lost,175350,TRK2409130001
SHP00065,CUS0340,RTE008,"Jl. Asia Afrika No. 300, Jakarta","Jl. Raya Bogor No. 262, Solo",37.0,dokumen,regular,2024-11-23,2024-11-26,2024-11-26,delivered,388500,TRK2411230001
SHP00066,CUS0508,RTE018,"Jl. Veteran No. 80, Jakarta","Jl. Pemuda No. 160, Pontianak",36.0,fragile,express,2023-02-16,2023-02-19,2023-02-19,delivered,846000,TRK2302160001
SHP00067,CUS0001,RTE020,"Jl. Cempaka No. 62, Surabaya","Jl. Anggrek No. 50, Malang",12.4,paket_kecil,regular,2024-11-01,2024-11-02,,in_transit,93000,TRK2411010001
SHP00068,CUS0455,RTE051,"Jl. Thamrin No. 63, Medan","Jl. Pemuda No. 208, Batam",24.2,paket_kecil,regular,2025-01-24,2025-01-28,2025-01-28,delivered,290400,TRK2501240001
SHP00069,CUS0450,RTE079,"Jl. Asia Afrika No. 222, Pontianak","Jl. Diponegoro No. 12, Jakarta",9.3,paket_besar,express,2023-05-08,2023-05-11,,returned,209250,TRK2305080001
SHP00070,CUS0175,RTE066,"Jl. Pajajaran No. 280, Yogyakarta","Jl. Merdeka No. 244, Bandung",24.1,paket_kecil,regular,2024-10-06,2024-10-09,,in_transit,228950,TRK2410060001
SHP00071,CUS0377,RTE036,"Jl. Imam Bonjol No. 198, Bandung","Jl. Margonda No. 55, Solo",23.3,paket_besar,regular,2022-02-27,2022-03-02,2022-03-02,delivered,221350,TRK2202270001
SHP00072,CUS0124,RTE073,"Jl. Imam Bonjol No. 6, Pekanbaru","Jl. Mangga No. 156, Medan",1.8,paket_sedang,express,2024-06-29,2024-06-30,2024-06-29,delivered,41400,TRK2406290001
SHP00073,CUS0364,RTE018,"Jl. Mawar No. 235, Jakarta","Jl. Ahmad Yani No. 5, Pontianak",49.1,paket_kecil,express,2023-03-08,2023-03-11,,in_transit,1153850,TRK2303080001
SHP00074,CUS0358,RTE068,"Jl. Imam Bonjol No. 263, Balikpapan","Jl. Gatot Subroto No. 90, Banjarmasin",32.8,paket_kecil,same_day,2023-11-26,2023-11-26,2023-11-27,delivered,1057800,TRK2311260001
SHP00075,CUS0144,RTE036,"Jl. Setiabudi No. 156, Bandung","Jl. Imam Bonjol No. 35, Solo",45.8,paket_sedang,regular,2024-08-24,2024-08-27,2024-08-28,delivered,435100,TRK2408240001
SHP00076,CUS0185,RTE074,"Jl. Margonda No. 260, Palembang","Jl. Setiabudi No. 270, Lampung",13.0,paket_sedang,express,2023-12-14,2023-12-15,,delivered,299000,TRK2312140001
SHP00077,CUS0599,RTE080,"Jl. Imam Bonjol No. 35, Manado","Jl. Thamrin No. 16, Gorontalo",42.6,paket_kecil,regular,2022-08-06,2022-08-09,2022-08-10,delivered,404700,TRK2208060001
SHP00078,CUS0488,RTE042,"Jl. Setiabudi No. 119, Semarang","Jl. Setiabudi No. 122, Malang",5.4,paket_besar,same_day,2024-02-26,2024-02-26,2024-02-28,delivered,149850,TRK2402260001
SHP00079,CUS0431,RTE009,"Jl. Thamrin No. 129, Jakarta","Jl. Asia Afrika No. 20, Malang",42.4,dokumen,same_day,2024-02-06,2024-02-06,2024-02-07,delivered,1812600,TRK2402060001
SHP00080,CUS0031,RTE023,"Jl. Hayam Wuruk No. 56, Surabaya","Jl. Margonda No. 231, Denpasar",18.9,fragile,express,2023-02-14,2023-02-15,2023-02-15,delivered,396900,TRK2302140001
SHP00081,CUS0503,RTE057,"Jl. Raya Bogor No. 147, Denpasar","Jl. Veteran No. 104, Mataram",37.1,paket_sedang,express,2023-01-29,2023-01-30,2023-01-30,delivered,667800,TRK2301290001
SHP00082,CUS0025,RTE013,"Jl. Merdeka No. 18, Jakarta","Jl. Diponegoro No. 3, Padang",18.0,paket_sedang,express,2022-05-28,2022-05-31,2022-05-31,delivered,585000,TRK2205280001
SHP00083,CUS0541,RTE064,"Jl. Merdeka No. 107, Yogyakarta","Jl. Mangga No. 243, Semarang",25.1,paket_kecil,express,2022-10-10,2022-10-11,,returned,363950,TRK2210100001
SHP00084,CUS0069,RTE057,"Jl. Cendrawasih No. 193, Denpasar","Jl. Gatot Subroto No. 292, Mataram",4.0,paket_besar,regular,2022-07-26,2022-07-28,2022-07-28,delivered,32000,TRK2207260001
SHP00085,CUS0237,RTE007,"Jl. Cempaka No. 277, Jakarta","Jl. Hayam Wuruk No. 12, Yogyakarta",11.3,fragile,regular,2024-03-10,2024-03-13,,lost,118650,TRK2403100001
SHP00086,CUS0367,RTE009,"Jl. Pahlawan No. 148, Jakarta","Jl. Gatot Subroto No. 274, Malang",28.8,paket_besar,express,2024-10-21,2024-10-23,,delivered,820800,TRK2410210001
SHP00087,CUS0320,RTE052,"Jl. Cempaka No. 30, Makassar","Jl. Kenanga No. 57, Manado",29.2,fragile,regular,2022-03-03,2022-03-08,,in_transit,438000,TRK2203030001
SHP00088,CUS0034,RTE044,"Jl. Cendrawasih No. 134, Semarang","Jl. Merdeka No. 172, Denpasar",44.4,dokumen,regular,2025-01-25,2025-01-29,,delivered,510600,TRK2501250001
SHP00089,CUS0338,RTE008,"Jl. Veteran No. 253, Jakarta","Jl. Gatot Subroto No. 289, Solo",45.2,paket_besar,same_day,2022-03-14,2022-03-14,2022-03-14,delivered,1695000,TRK2203140001
SHP00090,CUS0073,RTE054,"Jl. Cempaka No. 42, Makassar","Jl. Kenanga No. 246, Balikpapan",47.3,paket_kecil,regular,2022-08-02,2022-08-06,2022-08-05,delivered,543950,TRK2208020001
SHP00091,CUS0520,RTE029,"Jl. Kebon Jeruk No. 180, Surabaya","Jl. Cendrawasih No. 245, Manado",15.2,paket_besar,regular,2022-02-13,2022-02-18,2022-02-21,delivered,258400,TRK2202130001
SHP00092,CUS0027,RTE026,"Jl. Kenanga No. 195, Surabaya","Jl. Raya Bogor No. 10, Solo",27.7,dokumen,same_day,2024-02-12,2024-02-12,,in_transit,831000,TRK2402120001
SHP00093,CUS0129,RTE056,"Jl. Margonda No. 219, Makassar","Jl. Kenanga No. 71, Kendari",5.9,paket_kecil,express,2024-01-24,2024-01-25,,in_transit,112100,TRK2401240001
SHP00094,CUS0361,RTE025,"Jl. Hayam Wuruk No. 224, Surabaya","Jl. Thamrin No. 122, Makassar",11.7,paket_sedang,regular,2024-04-25,2024-04-29,2024-05-01,delivered,140400,TRK2404250001
SHP00095,CUS0550,RTE073,"Jl. Thamrin No. 8, Pekanbaru","Jl. Pajajaran No. 128, Medan",40.6,dokumen,regular,2024-06-17,2024-06-20,2024-06-20,delivered,385700,TRK2406170001
SHP00096,CUS0045,RTE041,"Jl. Gajah Mada No. 126, Semarang","Jl. Pemuda No. 67, Solo",30.3,paket_sedang,regular,2022-06-07,2022-06-09,2022-06-09,delivered,227250,TRK2206070001
SHP00097,CUS0557,RTE027,"Jl. Melati No. 183, Surabaya","Jl. Veteran No. 228, Medan",35.7,fragile,same_day,2023-08-23,2023-08-23,,in_transit,2302650,TRK2308230001
SHP00098,CUS0251,RTE068,"Jl. Ahmad Yani No. 164, Balikpapan","Jl. Margonda No. 278, Banjarmasin",25.2,dokumen,regular,2024-09-22,2024-09-25,2024-09-25,delivered,239400,TRK2409220001
SHP00099,CUS0209,RTE018,"Jl. Anggrek No. 119, Jakarta","Jl. Pemuda No. 284, Pontianak",10.6,paket_kecil,regular,2022-03-15,2022-03-19,2022-03-24,delivered,121900,TRK2203150001
SHP00100,CUS0451,RTE059,"Jl. Asia Afrika No. 11, Denpasar","Jl. Melati No. 18, Lombok",13.6,paket_sedang,regular,2022-06-23,2022-06-25,,returned,108800,TRK2206230001
SHP00101,CUS0062,RTE036,"Jl. Cempaka No. 197, Bandung","Jl. Melati No. 10, Solo",43.2,paket_kecil,regular,2023-04-05,2023-04-08,2023-04-08,delivered,410400,TRK2304050001
SHP00102,CUS0189,RTE056,"Jl. Kenanga No. 27, Makassar","Jl. Raya Bogor No. 157, Kendari",1.7,paket_besar,regular,2023-11-20,2023-11-23,,in_transit,16150,TRK2311200001
SHP00103,CUS0269,RTE076,"Jl. Merdeka No. 15, Palembang","Jl. Hayam Wuruk No. 223, Jakarta",43.3,paket_besar,same_day,2022-04-27,2022-04-27,2022-04-29,delivered,1201575,TRK2204270001
SHP00104,CUS0567,RTE050,"Jl. Pajajaran No. 148, Medan","Jl. Kenanga No. 238, Jakarta",21.2,paket_besar,same_day,2024-11-28,2024-11-28,2024-11-28,delivered,1240200,TRK2411280001
SHP00105,CUS0391,RTE060,"Jl. Pajajaran No. 122, Denpasar","Jl. Diponegoro No. 8, Makassar",14.1,paket_sedang,regular,2022-06-25,2022-06-29,2022-07-04,delivered,162150,TRK2206250001
SHP00106,CUS0556,RTE038,"Jl. Hayam Wuruk No. 293, Bandung","Jl. Imam Bonjol No. 20, Cirebon",30.8,paket_kecil,express,2023-05-29,2023-05-30,2023-06-01,delivered,523600,TRK2305290001
SHP00107,CUS0013,RTE016,"Jl. Pemuda No. 292, Jakarta","Jl. Raya Bogor No. 165, Manado",41.8,paket_besar,regular,2024-08-05,2024-08-12,2024-08-11,delivered,898700,TRK2408050001
SHP00108,CUS0010,RTE060,"Jl. Thamrin No. 184, Denpasar","Jl. Melati No. 285, Makassar",11.0,dokumen,regular,2023-07-21,2023-07-25,2023-07-28,delivered,126500,TRK2307210001
SHP00109,CUS0565,RTE041,"Jl. Gatot Subroto No. 226, Semarang","Jl. Pahlawan No. 133, Solo",38.3,paket_kecil,express,2022-09-18,2022-09-19,2022-09-19,delivered,612800,TRK2209180001
SHP00110,CUS0179,RTE019,"Jl. Cempaka No. 26, Jakarta","Jl. Veteran No. 59, Banjarmasin",32.8,paket_kecil,express,2024-06-20,2024-06-23,2024-06-24,delivered,967600,TRK2406200001
SHP00111,CUS0043,RTE071,"Jl. Margonda No. 117, Pekanbaru","Jl. Thamrin No. 133, Padang",48.8,dokumen,regular,2025-01-11,2025-01-13,2025-01-15,delivered,414800,TRK2501110001
SHP00112,CUS0241,RTE045,"Jl. Asia Afrika No. 40, Semarang","Jl. Anggrek No. 228, Medan",5.7,dokumen,regular,2023-10-30,2023-11-05,2023-11-06,delivered,114000,TRK2310300001
SHP00113,CUS0426,RTE010,"Jl. Kebon Jeruk No. 219, Jakarta","Jl. Pemuda No. 74, Denpasar",1.3,paket_sedang,regular,2023-11-18,2023-11-22,2023-11-27,delivered,18200,TRK2311180001
SHP00114,CUS0384,RTE061,"Jl. Pemuda No. 16, Denpasar","Jl. Pahlawan No. 189, Yogyakarta",2.3,fragile,express,2022-02-22,2022-02-24,,in_transit,49450,TRK2202220002
SHP00115,CUS0109,RTE078,"Jl. Merdeka No. 161, Pontianak","Jl. Anggrek No. 261, Balikpapan",39.2,paket_besar,regular,2024-02-15,2024-02-19,2024-02-21,delivered,509600,TRK2402150001
SHP00116,CUS0034,RTE020,"Jl. Imam Bonjol No. 41, Surabaya","Jl. Gatot Subroto No. 115, Malang",28.3,fragile,express,2025-01-27,2025-01-28,2025-01-30,delivered,452800,TRK2501270001
SHP00117,CUS0552,RTE016,"Jl. Anggrek No. 27, Jakarta","Jl. Cempaka No. 242, Manado",33.0,paket_sedang,regular,2023-07-06,2023-07-13,,in_transit,709500,TRK2307060001
SHP00118,CUS0200,RTE074,"Jl. Pemuda No. 125, Palembang","Jl. Hayam Wuruk No. 125, Lampung",40.0,fragile,regular,2024-07-22,2024-07-25,2024-07-25,delivered,380000,TRK2407220001
SHP00119,CUS0119,RTE031,"Jl. Mawar No. 210, Surabaya","Jl. Gajah Mada No. 41, Pekanbaru",17.7,paket_sedang,regular,2024-09-18,2024-09-23,2024-09-24,delivered,300900,TRK2409180002
SHP00120,CUS0460,RTE054,"Jl. Veteran No. 292, Makassar","Jl. Diponegoro No. 276, Balikpapan",12.3,fragile,express,2022-10-10,2022-10-12,2022-10-13,delivered,282900,TRK2210100002
SHP00121,CUS0294,RTE044,"Jl. Hayam Wuruk No. 61, Semarang","Jl. Gatot Subroto No. 210, Denpasar",21.1,fragile,express,2024-10-09,2024-10-11,2024-10-12,delivered,548600,TRK2410090001
SHP00122,CUS0203,RTE024,"Jl. Mawar No. 8, Surabaya","Jl. Pahlawan No. 62, Bandung",21.0,paket_besar,same_day,2024-08-20,2024-08-20,2024-08-22,delivered,740250,TRK2408200002
SHP00123,CUS0130,RTE005,"Jl. Cendrawasih No. 13, Jakarta","Jl. Margonda No. 86, Semarang",49.5,paket_kecil,express,2024-03-05,2024-03-06,2024-03-09,delivered,1089000,TRK2403050001
SHP00124,CUS0363,RTE017,"Jl. Imam Bonjol No. 286, Jakarta","Jl. Veteran No. 151, Balikpapan",6.0,paket_besar,regular,2022-08-09,2022-08-14,2022-08-19,delivered,90000,TRK2208090001
SHP00125,CUS0047,RTE010,"Jl. Pajajaran No. 182, Jakarta","Jl. Mawar No. 210, Denpasar",31.6,paket_besar,regular,2023-08-16,2023-08-20,2023-08-22,delivered,442400,TRK2308160001
SHP00126,CUS0138,RTE024,"Jl. Pajajaran No. 261, Surabaya","Jl. Gatot Subroto No. 78, Bandung",44.8,paket_sedang,regular,2024-07-17,2024-07-21,2024-07-21,delivered,515200,TRK2407170001
SHP00127,CUS0450,RTE023,"Jl. Anggrek No. 144, Surabaya","Jl. Setiabudi No. 50, Denpasar",11.7,paket_sedang,regular,2024-11-26,2024-11-29,2024-12-02,delivered,111150,TRK2411260002
SHP00128,CUS0594,RTE066,"Jl. Cendrawasih No. 147, Yogyakarta","Jl. Hayam Wuruk No. 197, Bandung",16.0,paket_kecil,regular,2022-03-27,2022-03-30,2022-04-01,delivered,152000,TRK2203270001
SHP00129,CUS0216,RTE056,"Jl. Anggrek No. 143, Makassar","Jl. Mangga No. 161, Kendari",5.1,paket_kecil,regular,2023-08-13,2023-08-16,2023-08-16,delivered,48450,TRK2308130001
