record_id,shipment_id,status,update_timestamp,location,notes
RCD00084,SHP00025,delivered,2022-01-13 16:46:00,Jakarta,Paket diterima oleh penerima
RCD00085,SHP00026,pickup_confirmed,2024-08-20 00:00:00,Jakarta,Paket dijemput kurir
RCD00086,SHP00026,arrived_at_hub,2024-08-20 12:59:00,Hub Balikpapan,Sorting di hub Balikpapan
RCD00087,SHP00027,pickup_confirmed,2023-10-04 00:00:00,Makassar,Paket dijemput kurir
RCD00088,SHP00027,arrived_at_hub,2023-10-07 23:47:00,Hub Balikpapan,Arrived at distribution center
RCD00089,SHP00028,pickup_confirmed,2024-02-05 00:00:00,Pontianak,Kurir telah menjemput paket
RCD00090,SHP00028,out_for_delivery,2024-02-08 10:39:00,Jakarta,Kurir berangkat untuk pengantaran
RCD00091,SHP00028,delivered,2024-02-10 12:22:00,Jakarta,Paket diterima oleh penerima
RCD00092,SHP00029,pickup_confirmed,2024-06-11 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00093,SHP00029,in_transit,2024-06-11 11:38:00,Transit Jakarta,
RCD00094,SHP00029,out_for_delivery,2024-06-11 20:12:00,Bekasi,Paket siap diantar ke alamat tujuan
RCD00095,SHP00029,delivered,2024-06-11 22:00:00,Bekasi,Paket diterima oleh penerima
RCD00096,SHP00030,pickup_confirmed,2022-03-30 00:00:00,Surabaya,Paket dijemput kurir
RCD00097,SHP00030,arrived_at_hub,2022-04-02 05:01:00,Hub Makassar,Paket tiba di hub Makassar
RCD00098,SHP00030,delivered,2022-04-02 18:37:00,Makassar,Berhasil diserahkan ke penerima
RCD00099,SHP00031,pickup_confirmed,2024-08-01 00:00:00,Jakarta,Paket dijemput kurir
RCD00100,SHP00031,arrived_at_hub,2024-08-02 19:59:00,Hub Denpasar,Arrived at distribution center
RCD00101,SHP00031,delivered,2024-08-03 09:06:00,Denpasar,Paket diterima oleh penerima
RCD00102,SHP00032,pickup_confirmed,2024-09-05 00:00:00,Jakarta,Pickup confirmed di lokasi pengirim
RCD00103,SHP00032,arrived_at_hub,2024-09-07 04:42:00,Hub Banjarmasin,Sorting di hub Banjarmasin
RCD00104,SHP00032,delivered,2024-09-09 19:52:00,Banjarmasin,Paket diterima oleh penerima
RCD00105,SHP00033,pickup_confirmed,2023-12-24 00:00:00,Semarang,Paket dijemput kurir
RCD00106,SHP00033,arrived_at_hub,2023-12-26 04:13:00,Hub Malang,Sorting di hub Malang
RCD00107,SHP00033,delivered,2023-12-27 22:47:00,Malang,Berhasil diserahkan ke penerima
RCD00108,SHP00034,pickup_confirmed,2024-08-16 00:00:00,Surabaya,
RCD00109,SHP00034,out_for_delivery,2024-08-17 23:32:00,Medan,Out for delivery
RCD00110,SHP00034,delivered,2024-08-18 17:21:00,Medan,Paket diterima oleh penerima
RCD00111,SHP00035,pickup_confirmed,2024-07-18 00:00:00,Yogyakarta,Paket dijemput kurir
RCD00112,SHP00035,arrived_at_hub,2024-07-20 10:11:00,Hub Malang,Sorting di hub Malang
RCD00113,SHP00035,delivered,2024-07-21 09:06:00,Malang,
RCD00114,SHP00036,pickup_confirmed,2023-02-20 00:00:00,Jakarta,Paket dijemput kurir
RCD00115,SHP00036,in_transit,2023-02-21 02:40:00,Transit Jakarta,Paket sedang dikirim menuju Pekanbaru
RCD00116,SHP00036,arrived_at_hub,2023-02-23 12:05:00,Hub Pekanbaru,Arrived at distribution center
RCD00117,SHP00037,pickup_confirmed,2022-07-29 00:00:00,Surabaya,Pickup confirmed di lokasi pengirim
RCD00118,SHP00037,delivered,2022-07-30 23:07:00,Makassar,
RCD00119,SHP00038,pickup_confirmed,2024-07-16 00:00:00,Jakarta,Pickup confirmed di lokasi pengirim
RCD00120,SHP00038,arrived_at_hub,2024-07-17 23:02:00,Hub Makassar,Sorting di hub Makassar
RCD00121,SHP00038,delivered,2024-07-18 01:38:00,Makassar,Berhasil diserahkan ke penerima
RCD00122,SHP00039,pickup_confirmed,2023-11-15 00:00:00,Pekanbaru,Paket dijemput kurir
RCD00123,SHP00039,arrived_at_hub,2023-11-17 11:19:00,Hub Padang,Arrived at distribution center
RCD00124,SHP00040,pickup_confirmed,2023-02-02 00:00:00,Denpasar,Pickup confirmed di lokasi pengirim
RCD00125,SHP00040,arrived_at_hub,2023-02-03 01:50:00,Hub Mataram,Arrived at distribution center
RCD00126,SHP00040,out_for_delivery,2023-02-03 07:48:00,Mataram,Out for delivery
RCD00127,SHP00040,delivered,2023-02-03 08:32:00,Mataram,Berhasil diserahkan ke penerima
RCD00128,SHP00041,pickup_confirmed,2023-05-25 00:00:00,Surabaya,Paket dijemput kurir
RCD00129,SHP00041,in_transit,2023-05-26 18:05:00,Transit Surabaya,Transit menuju kota tujuan
RCD00130,SHP00041,arrived_at_hub,2023-05-26 21:03:00,Hub Denpasar,
RCD00131,SHP00042,pickup_confirmed,2023-07-19 00:00:00,Surabaya,
RCD00132,SHP00042,out_for_delivery,2023-07-21 23:23:00,Manado,Kurir berangkat untuk pengantaran
RCD00133,SHP00042,delivered,2023-07-23 07:10:00,Manado,Berhasil diserahkan ke penerima
RCD00134,SHP00043,pickup_confirmed,2023-12-13 00:00:00,Medan,Pickup confirmed di lokasi pengirim
RCD00135,SHP00043,lost,2023-12-17 21:22:00,Hub Transit,Tidak ditemukan di hub
RCD00136,SHP00044,pickup_confirmed,2023-09-18 00:00:00,Pontianak,Kurir telah menjemput paket
RCD00137,SHP00044,out_for_delivery,2023-09-20 15:38:00,Singkawang,Paket siap diantar ke alamat tujuan
RCD00138,SHP00044,delivered,2023-09-21 10:48:00,Singkawang,Delivered successfully
RCD00139,SHP00045,pickup_confirmed,2024-08-29 00:00:00,Surabaya,Paket dijemput kurir
RCD00140,SHP00045,arrived_at_hub,2024-08-30 12:49:00,Hub Semarang,Paket tiba di hub Semarang
RCD00141,SHP00045,delivered,2024-08-31 18:35:00,Semarang,Paket diterima oleh penerima
RCD00142,SHP00046,pickup_confirmed,2022-01-03 00:00:00,Surabaya,Pickup confirmed di lokasi pengirim
RCD00143,SHP00046,in_transit,2022-01-04 01:19:00,Transit Surabaya,Paket sedang dikirim menuju Denpasar
RCD00144,SHP00046,delivered,2022-01-04 05:50:00,Denpasar,Paket diterima oleh penerima
RCD00145,SHP00047,pickup_confirmed,2024-12-11 00:00:00,Denpasar,Kurir telah menjemput paket
RCD00146,SHP00047,delivered,2024-12-14 18:51:00,Yogyakarta,Delivered successfully
RCD00147,SHP00048,pickup_confirmed,2023-06-12 00:00:00,Jakarta,Pickup confirmed di lokasi pengirim
RCD00148,SHP00048,failed_delivery,2023-06-15 10:50:00,Padang,Pengantaran gagal — penerima tidak ada
RCD00149,SHP00048,returned_to_sender,2023-06-16 13:30:00,Jakarta,Dikembalikan setelah gagal antar
RCD00150,SHP00049,pickup_confirmed,2024-09-18 00:00:00,Bandung,Kurir telah menjemput paket
RCD00151,SHP00049,in_transit,2024-09-20 11:53:00,Transit Bandung,Paket sedang dikirim menuju Semarang
RCD00152,SHP00049,returned_to_sender,2024-09-21 09:42:00,Bandung,
RCD00153,SHP00050,pickup_confirmed,2022-10-18 00:00:00,Bandung,Paket dijemput kurir
RCD00154,SHP00050,in_transit,2022-10-20 06:48:00,Transit Bandung,Dalam perjalanan ke Surabaya
RCD00155,SHP00050,arrived_at_hub,2022-10-20 15:09:00,Hub Surabaya,Sorting di hub Surabaya
RCD00156,SHP00050,delivered,2022-10-21 07:09:00,Surabaya,Paket diterima oleh penerima
RCD00157,SHP00051,pickup_confirmed,2022-08-10 00:00:00,Bandung,Pickup confirmed di lokasi pengirim
RCD00158,SHP00051,in_transit,2022-08-12 06:54:00,Transit Bandung,Dalam perjalanan ke Bogor
RCD00159,SHP00051,out_for_delivery,2022-08-15 07:02:00,Bogor,
RCD00160,SHP00051,delivered,2022-08-15 12:24:00,Bogor,Delivered successfully
RCD00161,SHP00052,pickup_confirmed,2023-07-20 00:00:00,Denpasar,Paket dijemput kurir
RCD00162,SHP00052,delivered,2023-07-21 19:45:00,Surabaya,Berhasil diserahkan ke penerima
RCD00163,SHP00053,pickup_confirmed,2023-08-14 00:00:00,Palembang,
RCD00164,SHP00053,lost,2023-08-17 05:15:00,Hub Transit,
RCD00165,SHP00054,pickup_confirmed,2022-11-30 00:00:00,Jakarta,Pickup confirmed di lokasi pengirim
RCD00166,SHP00054,arrived_at_hub,2022-11-30 12:22:00,Hub Bogor,
RCD00167,SHP00054,delivered,2022-11-30 13:55:00,Bogor,Berhasil diserahkan ke penerima
RCD00168,SHP00055,pickup_confirmed,2022-04-19 00:00:00,Jakarta,
RCD00169,SHP00055,arrived_at_hub,2022-04-19 19:14:00,Hub Malang,Sorting di hub Malang
RCD00170,SHP00056,pickup_confirmed,2024-10-25 00:00:00,Semarang,
RCD00171,SHP00056,out_for_delivery,2024-10-27 00:35:00,Yogyakarta,Kurir berangkat untuk pengantaran
RCD00172,SHP00056,failed_delivery,2024-10-28 07:53:00,Yogyakarta,Alamat tidak ditemukan
RCD00173,SHP00056,returned_to_sender,2024-10-28 21:58:00,Semarang,Return to sender — pengantaran gagal 3x
RCD00174,SHP00057,pickup_confirmed,2023-03-25 00:00:00,Surabaya,Kurir telah menjemput paket
RCD00175,SHP00057,in_transit,2023-03-25 00:20:00,Transit Surabaya,
RCD00176,SHP00057,delivered,2023-03-25 00:23:00,Malang,Berhasil diserahkan ke penerima
RCD00177,SHP00058,pickup_confirmed,2023-09-11 00:00:00,Bandung,Pickup confirmed di lokasi pengirim
RCD00178,SHP00058,out_for_delivery,2023-09-12 18:46:00,Bogor,Paket siap diantar ke alamat tujuan
RCD00179,SHP00058,delivered,2023-09-13 03:26:00,Bogor,Paket diterima oleh penerima
RCD00180,SHP00059,pickup_confirmed,2024-05-02 00:00:00,Pekanbaru,Kurir telah menjemput paket
RCD00181,SHP00059,arrived_at_hub,2024-05-05 04:11:00,Hub Medan,Sorting di hub Medan
RCD00182,SHP00059,delivered,2024-05-05 14:38:00,Medan,
RCD00183,SHP00060,pickup_confirmed,2022-07-16 00:00:00,Semarang,Paket dijemput kurir
RCD00184,SHP00060,arrived_at_hub,2022-07-16 09:24:00,Hub Yogyakarta,
RCD00185,SHP00060,out_for_delivery,2022-07-16 13:38:00,Yogyakarta,Kurir berangkat untuk pengantaran
RCD00186,SHP00060,delivered,2022-07-17 14:10:00,Yogyakarta,Berhasil diserahkan ke penerima
RCD00187,SHP00061,pickup_confirmed,2024-08-02 00:00:00,Semarang,Kurir telah menjemput paket
RCD00188,SHP00061,delivered,2024-08-02 06:52:00,Solo,Berhasil diserahkan ke penerima
RCD00189,SHP00062,pickup_confirmed,2024-11-14 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00190,SHP00062,arrived_at_hub,2024-11-14 16:31:00,Hub Bekasi,Paket tiba di hub Bekasi
RCD00191,SHP00062,delivered,2024-11-14 21:20:00,Bekasi,Delivered successfully
RCD00192,SHP00063,pickup_confirmed,2024-11-26 00:00:00,Pekanbaru,Paket dijemput kurir
RCD00193,SHP00063,arrived_at_hub,2024-11-26 15:29:00,Hub Medan,Paket tiba di hub Medan
RCD00194,SHP00064,pickup_confirmed,2024-09-13 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00195,SHP00064,lost,2024-09-14 19:34:00,Hub Transit,
RCD00196,SHP00065,pickup_confirmed,2024-11-23 00:00:00,Jakarta,
RCD00197,SHP00065,in_transit,2024-11-24 06:00:00,Transit Jakarta,
RCD00198,SHP00065,arrived_at_hub,2024-11-25 03:21:00,Hub Solo,Paket tiba di hub Solo
RCD00199,SHP00065,out_for_delivery,2024-11-25 14:59:00,Solo,Kurir berangkat untuk pengantaran
RCD00200,SHP00065,delivered,2024-11-25 23:08:00,Solo,
RCD00201,SHP00066,pickup_confirmed,2023-02-16 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00202,SHP00066,delivered,2023-02-18 17:29:00,Pontianak,
RCD00203,SHP00067,pickup_confirmed,2024-11-01 00:00:00,Surabaya,Pickup confirmed di lokasi pengirim
RCD00204,SHP00067,in_transit,2024-11-02 19:12:00,Transit Surabaya,Dalam perjalanan ke Malang
RCD00205,SHP00067,arrived_at_hub,2024-11-03 00:50:00,Hub Malang,Arrived at distribution center
RCD00206,SHP00068,pickup_confirmed,2025-01-24 00:00:00,Medan,Kurir telah menjemput paket
RCD00207,SHP00068,in_transit,2025-01-26 05:20:00,Transit Medan,Dalam perjalanan ke Batam
RCD00208,SHP00068,arrived_at_hub,2025-01-26 23:27:00,Hub Batam,Paket tiba di hub Batam
RCD00209,SHP00068,delivered,2025-01-27 22:44:00,Batam,Paket diterima oleh penerima
RCD00210,SHP00069,pickup_confirmed,2023-05-08 00:00:00,Pontianak,Kurir telah menjemput paket
RCD00211,SHP00069,out_for_delivery,2023-05-10 23:21:00,Jakarta,
RCD00212,SHP00069,failed_delivery,2023-05-11 22:12:00,Jakarta,Pengantaran gagal — penerima tidak ada
RCD00213,SHP00069,returned_to_sender,2023-05-13 09:40:00,Pontianak,
RCD00214,SHP00070,pickup_confirmed,2024-10-06 00:00:00,Yogyakarta,Kurir telah menjemput paket
RCD00215,SHP00070,arrived_at_hub,2024-10-08 23:09:00,Hub Bandung,Sorting di hub Bandung
RCD00216,SHP00071,pickup_confirmed,2022-02-27 00:00:00,Bandung,Pickup confirmed di lokasi pengirim
RCD00217,SHP00071,in_transit,2022-02-27 12:14:00,Transit Bandung,Dalam perjalanan ke Solo
RCD00218,SHP00071,delivered,2022-03-01 04:17:00,Solo,Paket diterima oleh penerima
RCD00219,SHP00072,pickup_confirmed,2024-06-29 00:00:00,Pekanbaru,Paket dijemput kurir
RCD00220,SHP00072,in_transit,2024-06-29 00:18:00,Transit Pekanbaru,Transit menuju kota tujuan
RCD00221,SHP00072,out_for_delivery,2024-06-29 00:34:00,Medan,Out for delivery
RCD00222,SHP00072,delivered,2024-06-29 00:48:00,Medan,Delivered successfully
RCD00223,SHP00073,pickup_confirmed,2023-03-08 00:00:00,Jakarta,Pickup confirmed di lokasi pengirim
RCD00224,SHP00073,in_transit,2023-03-09 13:23:00,Transit Jakarta,Dalam perjalanan ke Pontianak
RCD00225,SHP00073,arrived_at_hub,2023-03-09 14:02:00,Hub Pontianak,
RCD00226,SHP00074,pickup_confirmed,2023-11-26 00:00:00,Balikpapan,Pickup confirmed di lokasi pengirim
RCD00227,SHP00074,arrived_at_hub,2023-11-26 23:12:00,Hub Banjarmasin,Arrived at distribution center
RCD00228,SHP00074,delivered,2023-11-26 23:38:00,Banjarmasin,Berhasil diserahkan ke penerima
RCD00229,SHP00075,pickup_confirmed,2024-08-24 00:00:00,Bandung,Pickup confirmed di lokasi pengirim
RCD00230,SHP00075,arrived_at_hub,2024-08-26 02:01:00,Hub Solo,
RCD00231,SHP00075,out_for_delivery,2024-08-27 03:00:00,Solo,
RCD00232,SHP00075,delivered,2024-08-27 22:23:00,Solo,
RCD00233,SHP00076,pickup_confirmed,2023-12-14 00:00:00,Palembang,Pickup confirmed di lokasi pengirim
RCD00234,SHP00076,out_for_delivery,2023-12-14 04:34:00,Lampung,Out for delivery
RCD00235,SHP00076,delivered,2023-12-14 20:53:00,Lampung,Delivered successfully
RCD00236,SHP00077,pickup_confirmed,2022-08-06 00:00:00,Manado,Kurir telah menjemput paket
RCD00237,SHP00077,in_transit,2022-08-07 00:01:00,Transit Manado,
RCD00238,SHP00077,arrived_at_hub,2022-08-07 04:30:00,Hub Gorontalo,Paket tiba di hub Gorontalo
RCD00239,SHP00077,delivered,2022-08-09 22:21:00,Gorontalo,Paket diterima oleh penerima
RCD00240,SHP00078,pickup_confirmed,2024-02-26 00:00:00,Semarang,Pickup confirmed di lokasi pengirim
RCD00241,SHP00078,in_transit,2024-02-27 06:59:00,Transit Semarang,Paket sedang dikirim menuju Malang
RCD00242,SHP00078,arrived_at_hub,2024-02-27 16:38:00,Hub Malang,Paket tiba di hub Malang
RCD00243,SHP00078,delivered,2024-02-27 16:47:00,Malang,
RCD00244,SHP00079,pickup_confirmed,2024-02-06 00:00:00,Jakarta,Paket dijemput kurir
RCD00245,SHP00079,in_transit,2024-02-06 07:13:00,Transit Jakarta,
RCD00246,SHP00079,arrived_at_hub,2024-02-06 14:33:00,Hub Malang,
RCD00247,SHP00079,out_for_delivery,2024-02-06 20:43:00,Malang,Paket siap diantar ke alamat tujuan
RCD00248,SHP00079,delivered,2024-02-06 22:21:00,Malang,Delivered successfully
RCD00249,SHP00080,pickup_confirmed,2023-02-14 00:00:00,Surabaya,Paket dijemput kurir
RCD00250,SHP00080,arrived_at_hub,2023-02-14 05:28:00,Hub Denpasar,Arrived at distribution center
RCD00251,SHP00080,out_for_delivery,2023-02-14 09:45:00,Denpasar,Paket siap diantar ke alamat tujuan
RCD00252,SHP00080,delivered,2023-02-14 14:15:00,Denpasar,Delivered successfully
RCD00253,SHP00081,pickup_confirmed,2023-01-29 00:00:00,Denpasar,Paket dijemput kurir
RCD00254,SHP00081,arrived_at_hub,2023-01-29 05:26:00,Hub Mataram,Arrived at distribution center
RCD00255,SHP00081,out_for_delivery,2023-01-29 11:57:00,Mataram,Out for delivery
RCD00256,SHP00081,delivered,2023-01-29 13:34:00,Mataram,
RCD00257,SHP00082,pickup_confirmed,2022-05-28 00:00:00,Jakarta,Paket dijemput kurir
RCD00258,SHP00082,delivered,2022-05-29 16:45:00,Padang,Berhasil diserahkan ke penerima
RCD00259,SHP00083,pickup_confirmed,2022-10-10 00:00:00,Yogyakarta,Pickup confirmed di lokasi pengirim
RCD00260,SHP00083,returned_to_sender,2022-10-13 23:15:00,Yogyakarta,Return to sender — pengantaran gagal 3x
RCD00261,SHP00084,pickup_confirmed,2022-07-26 00:00:00,Denpasar,Kurir telah menjemput paket
RCD00262,SHP00084,delivered,2022-07-27 05:49:00,Mataram,Berhasil diserahkan ke penerima
RCD00263,SHP00085,pickup_confirmed,2024-03-10 00:00:00,Jakarta,Pickup confirmed di lokasi pengirim
RCD00264,SHP00085,lost,2024-03-11 19:54:00,Hub Transit,Paket hilang dalam pengiriman
RCD00265,SHP00086,pickup_confirmed,2024-10-21 00:00:00,Jakarta,
RCD00266,SHP00086,delivered,2024-10-22 22:01:00,Malang,Delivered successfully
RCD00267,SHP00087,pickup_confirmed,2022-03-03 00:00:00,Makassar,Paket dijemput kurir
RCD00268,SHP00087,in_transit,2022-03-03 11:18:00,Transit Makassar,Dalam perjalanan ke Manado
RCD00269,SHP00087,arrived_at_hub,2022-03-03 14:05:00,Hub Manado,Sorting di hub Manado
RCD00270,SHP00088,pickup_confirmed,2025-01-25 00:00:00,Semarang,Kurir telah menjemput paket
RCD00271,SHP00088,arrived_at_hub,2025-01-28 02:28:00,Hub Denpasar,Paket tiba di hub Denpasar
RCD00272,SHP00088,delivered,2025-01-29 11:12:00,Denpasar,Delivered successfully
RCD00273,SHP00089,pickup_confirmed,2022-03-14 00:00:00,Jakarta,Kurir telah menjemput paket
RCD00274,SHP00089,in_transit,2022-03-14 00:32:00,Transit Jakarta,Paket sedang dikirim menuju Solo
RCD00275,SHP00089,delivered,2022-03-14 00:53:00,Solo,
RCD00276,SHP00090,pickup_confirmed,2022-08-02 00:00:00,Makassar,
RCD00277,SHP00090,arrived_at_hub,2022-08-02 21:33:00,Hub Balikpapan,
RCD00278,SHP00090,delivered,2022-08-02 22:13:00,Balikpapan,
RCD00279,SHP00091,pickup_confirmed,2022-02-13 00:00:00,Surabaya,Pickup confirmed di lokasi pengirim
RCD00280,SHP00091,arrived_at_hub,2022-02-16 04:55:00,Hub Manado,Paket tiba di hub Manado
